type,version,generated_timestamp,data.stop,data.name_en,data.name_tc,data.name_sc,data.lat,data.long
StopList,1.0,2021-12-06T23:01:20+08:00,5ACB622335DF5AE7,TAK KING HOUSE,德敬樓,德敬楼,22.310818,114.238251
StopList,1.0,2021-12-06T23:01:20+08:00,62266836D5ACF227,NETHERSOLE HOSPITAL,那打素醫院,那打素医院,22.460186,114.174478
StopList,1.0,2021-12-06T23:01:20+08:00,6FFA120DD2FA4790,NULLAH ROAD MONG KOK (S7),旺角水渠道 (S7),旺角水渠道 (S7),22.323517,114.168615
StopList,1.0,2021-12-06T23:01:20+08:00,84F4FB113301C3B6,LAM TIN (KWONG TIN ESTATE) BUS TERMINUS,藍田(廣田邨)總站,蓝田(广田邨)总站,22.302505,114.241178
StopList,1.0,2021-12-06T23:01:20+08:00,B2F4485FA517FEED,MAK PIN,麥邊,麦边,22.395667,114.283511
StopList,1.0,2021-12-06T23:01:20+08:00,F6A446C66F7F805E,PAK KUNG STREET HUNG HOM,紅磡北拱街,红磡北拱街,22.312193,114.186074
StopList,1.0,2021-12-06T23:01:20+08:00,7380707A36C032B9,"TING FU STREET, KWUN TONG",觀塘定富街,观塘定富街,22.316142,114.216218
StopList,1.0,2021-12-06T23:01:20+08:00,1001A444985DA59D,KWUN TONG FERRY,觀塘碼頭,观塘码头,22.307814,114.22186
StopList,1.0,2021-12-06T23:01:20+08:00,7F3A1FC5F4533B4C,HK METROPOLITAN UNIVERSITY,香港都會大學,香港都会大学,22.316683,114.18027
StopList,1.0,2021-12-06T23:01:20+08:00,C4BDAA5047CADCBA,SAN HUI MARKET,新墟街市,新墟街市,22.396452,113.976542